"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","7"
"Male","58"
"","65"
"Doteli",""
"Female","10"
"Male","3"
"","13"
"Gurung",""
"Female","139"
"Male","98"
"","237"
"Kumal",""
"Female","121"
"Male","90"
"","211"
"Magar",""
"Female","8039"
"Male","6788"
"","14827"
"Nepali",""
"Female","4912"
"Male","3726"
"","8638"
"Newar",""
"Female","66"
"Male","36"
"","102"
"Not Reported",""
"Female","10"
"Male","7"
"","17"
"Others",""
"Female","12"
"Male","15"
"","27"
"Sign Language",""
"Female","6"
"Male","6"
"","12"
"Tamang",""
"Female","91"
"Male","82"
"","173"
"Tharu",""
"Female","373"
"Male","359"
"","732"
"Urdu",""
"Female","7"
"Male","4"
"","11"
