"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","5"
"Christianity","0"
"Hindu","34992"
"Islam","1922"
"Jainism","0"
"Kirat","1"
"Prakriti","0"
"Sikhism","0"
"Undefined","107"
"Total","37027"
