"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","9"
"Cow Dung","5686"
"Electricity Fuel","2"
"KeroseneFuel","61"
"LP Gas","120"
"Not Sated about Fuel","28"
"OthersFuel","42"
"Wood/FireWood","786"
"Total","6734"
