"Number of households by type of outer wall","Number"
"BambooWall","2747"
"Cement Bonded Bricks/Stone Wall","780"
"Mud Bonded Bricks/Stone Wall","133"
"Not stated","39"
"Others","54"
"Unbaked Bricks","2"
"Wood/Planks","57"
"Total","3812"
