"Number of households by type of outer wall","Number"
"BambooWall","3672"
"Cement Bonded Bricks/Stone Wall","885"
"Mud Bonded Bricks/Stone Wall","174"
"Not stated","38"
"Others","4"
"Unbaked Bricks","17"
"Wood/Planks","85"
"Total","4875"
