"Population by Five Years Age Group","Number"
"0-4",""
"Female","2187"
"Male","2124"
"10-14",""
"Female","1835"
"Male","2072"
"15-19",""
"Female","1172"
"Male","1518"
"20-24",""
"Female","1392"
"Male","1282"
"25-29",""
"Female","1216"
"Male","1276"
"30-34",""
"Female","1238"
"Male","1098"
"35-39",""
"Female","949"
"Male","1098"
"40-44",""
"Female","739"
"Male","801"
"45-49",""
"Female","605"
"Male","662"
"50-54",""
"Female","511"
"Male","541"
"55-59",""
"Female","472"
"Male","500"
"5-9",""
"Female","2488"
"Male","2523"
"60-64",""
"Female","470"
"Male","488"
"65-69",""
"Female","379"
"Male","398"
"70-74",""
"Female","262"
"Male","327"
"75+",""
"Female","111"
"Male","151"
