"Number of households by type of outer wall","Number"
"BambooWall","1638"
"Cement Bonded Bricks/Stone Wall","4472"
"Mud Bonded Bricks/Stone Wall","3303"
"Not Stated about Wall","112"
"Other Type Wall","743"
"Unbaked Bricks","173"
"Wood/Planks","809"
"Total","11250"
