"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1"
"Cow Dung","2"
"Electricity","0"
"Kerosene","7"
"LP Gas","0"
"Not stated","19"
"Others","0"
"Wood/Firewood","2674"
"Total","2703"
