"Population by Single Year of Age","Number"
"0",""
"Female","141"
"Male","141"
"1",""
"Female","125"
"Male","135"
"10",""
"Female","207"
"Male","215"
"11",""
"Female","196"
"Male","208"
"12",""
"Female","252"
"Male","230"
"13",""
"Female","252"
"Male","207"
"14",""
"Female","242"
"Male","223"
"15",""
"Female","215"
"Male","210"
"16",""
"Female","191"
"Male","190"
"17",""
"Female","205"
"Male","127"
"18",""
"Female","188"
"Male","162"
"19",""
"Female","117"
"Male","86"
"2",""
"Female","170"
"Male","159"
"20",""
"Female","130"
"Male","108"
"21",""
"Female","105"
"Male","77"
"22",""
"Female","137"
"Male","94"
"23",""
"Female","97"
"Male","74"
"24",""
"Female","118"
"Male","76"
"25",""
"Female","144"
"Male","77"
"26",""
"Female","102"
"Male","73"
"27",""
"Female","105"
"Male","66"
"28",""
"Female","101"
"Male","70"
"29",""
"Female","60"
"Male","42"
"3",""
"Female","185"
"Male","174"
"30",""
"Female","155"
"Male","89"
"31",""
"Female","59"
"Male","40"
"32",""
"Female","87"
"Male","61"
"33",""
"Female","72"
"Male","62"
"34",""
"Female","54"
"Male","65"
"35",""
"Female","121"
"Male","104"
"36",""
"Female","84"
"Male","66"
"37",""
"Female","67"
"Male","51"
"38",""
"Female","80"
"Male","78"
"39",""
"Female","54"
"Male","48"
"4",""
"Female","195"
"Male","190"
"40",""
"Female","132"
"Male","106"
"41",""
"Female","50"
"Male","43"
"42",""
"Female","55"
"Male","66"
"43",""
"Female","65"
"Male","66"
"44",""
"Female","50"
"Male","65"
"45",""
"Female","108"
"Male","91"
"46",""
"Female","70"
"Male","61"
"47",""
"Female","47"
"Male","49"
"48",""
"Female","67"
"Male","70"
"49",""
"Female","36"
"Male","44"
"5",""
"Female","216"
"Male","229"
"50",""
"Female","109"
"Male","87"
"51",""
"Female","36"
"Male","52"
"52",""
"Female","60"
"Male","61"
"53",""
"Female","45"
"Male","49"
"54",""
"Female","40"
"Male","36"
"55",""
"Female","64"
"Male","54"
"56",""
"Female","43"
"Male","43"
"57",""
"Female","42"
"Male","46"
"58",""
"Female","52"
"Male","57"
"59",""
"Female","39"
"Male","36"
"6",""
"Female","205"
"Male","225"
"60",""
"Female","75"
"Male","67"
"61",""
"Female","38"
"Male","28"
"62",""
"Female","38"
"Male","41"
"63",""
"Female","39"
"Male","40"
"64",""
"Female","16"
"Male","29"
"65",""
"Female","45"
"Male","43"
"66",""
"Female","23"
"Male","16"
"67",""
"Female","18"
"Male","31"
"68",""
"Female","43"
"Male","42"
"69",""
"Female","17"
"Male","13"
"7",""
"Female","220"
"Male","208"
"70",""
"Female","39"
"Male","26"
"71",""
"Female","10"
"Male","19"
"72",""
"Female","24"
"Male","27"
"73",""
"Female","12"
"Male","19"
"74",""
"Female","15"
"Male","10"
"75",""
"Female","17"
"Male","17"
"76",""
"Female","4"
"Male","9"
"77",""
"Female","8"
"Male","12"
"78",""
"Female","14"
"Male","14"
"79",""
"Female","8"
"Male","7"
"8",""
"Female","201"
"Male","235"
"80",""
"Female","13"
"Male","15"
"81",""
"Female","8"
"Male","0"
"82",""
"Female","4"
"Male","5"
"83",""
"Female","3"
"Male","7"
"84",""
"Female","2"
"Male","5"
"85",""
"Female","17"
"Male","19"
"9",""
"Female","218"
"Male","216"
