"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","109"
"Male","124"
"Chhetri",""
"Female","579"
"Male","617"
"Damai/Dholi",""
"Female","162"
"Male","142"
"Gharti/Bhujel",""
"Female","61"
"Male","61"
"Kami",""
"Female","279"
"Male","258"
"Magar",""
"Female","1654"
"Male","1427"
"Majhi",""
"Female","17"
"Male","9"
"Newar",""
"Female","526"
"Male","441"
"Others",""
"Female","18"
"Male","27"
"Pahari",""
"Female","21"
"Male","26"
"Rai",""
"Female","1662"
"Male","1469"
"Sanyasi/Dasnami",""
"Female","21"
"Male","18"
"Sarki",""
"Female","533"
"Male","539"
"Sunuwar",""
"Female","323"
"Male","273"
"Tamang",""
"Female","992"
"Male","860"
"Thakuri",""
"Female","665"
"Male","634"
"Undefined Others",""
"Female","11"
"Male","4"
