"Population by Mother tongue","Number"
"Bahing",""
"Female","10"
"Male","9"
"","19"
"Bhojpuri",""
"Female","9"
"Male","12"
"","21"
"Bhujel",""
"Female","28"
"Male","28"
"","56"
"Danuwar",""
"Female","164"
"Male","135"
"","299"
"Doteli",""
"Female","9"
"Male","11"
"","20"
"Hindi",""
"Female","12"
"Male","17"
"","29"
"Limbu",""
"Female","10"
"Male","3"
"","13"
"Magar",""
"Female","57"
"Male","42"
"","99"
"Maithili",""
"Female","6289"
"Male","5970"
"","12259"
"Nepali",""
"Female","1231"
"Male","1154"
"","2385"
"Newar",""
"Female","7"
"Male","6"
"","13"
"Not Reported",""
"Female","186"
"Male","162"
"","348"
"Others",""
"Female","11"
"Male","13"
"","24"
"Rai",""
"Female","60"
"Male","50"
"","110"
"Tamang",""
"Female","69"
"Male","72"
"","141"
"Tharu",""
"Female","5178"
"Male","4313"
"","9491"
"Urdu",""
"Female","953"
"Male","849"
"","1802"
