"Number of households by type of outer wall","Number"
"BambooWall","3911"
"Cement Bonded Bricks/Stone Wall","932"
"Mud Bonded Bricks/Stone Wall","341"
"Not Stated about Wall","88"
"Other Type Wall","3"
"Unbaked Bricks","5"
"Wood/Planks","142"
"Total","5422"
