"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1632"
"Male","1593"
"","3225"
"Chhetri",""
"Female","1897"
"Male","1901"
"","3798"
"Damai/Dholi",""
"Female","385"
"Male","372"
"","757"
"Kami",""
"Female","966"
"Male","1005"
"","1971"
"Others",""
"Female","10"
"Male","5"
"","15"
"Sanyasi/Dasnami",""
"Female","213"
"Male","198"
"","411"
"Sarki",""
"Female","506"
"Male","522"
"","1028"
"Tamang",""
"Female","22"
"Male","19"
"","41"
"Thakuri",""
"Female","837"
"Male","763"
"","1600"
