"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","10"
"Male","9"
"Brahman - Hill",""
"Female","469"
"Male","425"
"Chhetri",""
"Female","1186"
"Male","1027"
"Damai/Dholi",""
"Female","187"
"Male","137"
"Gharti/Bhujel",""
"Female","45"
"Male","34"
"Gurung",""
"Female","44"
"Male","49"
"Kami",""
"Female","371"
"Male","295"
"Limbu",""
"Female","3573"
"Male","2902"
"Magar",""
"Female","1726"
"Male","1333"
"Majhi",""
"Female","129"
"Male","106"
"Newar",""
"Female","325"
"Male","300"
"Others",""
"Female","24"
"Male","41"
"Rai",""
"Female","393"
"Male","294"
"Sanyasi/Dasnami",""
"Female","79"
"Male","65"
"Sarki",""
"Female","51"
"Male","46"
"Tamang",""
"Female","711"
"Male","543"
"Tharu",""
"Female","6"
"Male","10"
"Undefined Others",""
"Female","8"
"Male","4"
"Yakkha",""
"Female","895"
"Male","799"
"Yamphu",""
"Female","328"
"Male","304"
