"Population by Single Year of Age","Number"
"0",""
"Female","199"
"Male","178"
"1",""
"Female","151"
"Male","181"
"10",""
"Female","248"
"Male","244"
"11",""
"Female","254"
"Male","202"
"12",""
"Female","237"
"Male","253"
"13",""
"Female","232"
"Male","269"
"14",""
"Female","230"
"Male","201"
"15",""
"Female","232"
"Male","237"
"16",""
"Female","266"
"Male","254"
"17",""
"Female","269"
"Male","266"
"18",""
"Female","240"
"Male","198"
"19",""
"Female","217"
"Male","170"
"2",""
"Female","196"
"Male","184"
"20",""
"Female","193"
"Male","132"
"21",""
"Female","190"
"Male","109"
"22",""
"Female","209"
"Male","91"
"23",""
"Female","178"
"Male","84"
"24",""
"Female","170"
"Male","98"
"25",""
"Female","187"
"Male","110"
"26",""
"Female","169"
"Male","82"
"27",""
"Female","191"
"Male","89"
"28",""
"Female","152"
"Male","79"
"29",""
"Female","132"
"Male","82"
"3",""
"Female","179"
"Male","196"
"30",""
"Female","182"
"Male","85"
"31",""
"Female","107"
"Male","88"
"32",""
"Female","130"
"Male","76"
"33",""
"Female","128"
"Male","76"
"34",""
"Female","121"
"Male","82"
"35",""
"Female","169"
"Male","86"
"36",""
"Female","130"
"Male","64"
"37",""
"Female","116"
"Male","79"
"38",""
"Female","133"
"Male","90"
"39",""
"Female","110"
"Male","63"
"4",""
"Female","216"
"Male","155"
"40",""
"Female","196"
"Male","104"
"41",""
"Female","123"
"Male","78"
"42",""
"Female","130"
"Male","104"
"43",""
"Female","105"
"Male","85"
"44",""
"Female","93"
"Male","56"
"45",""
"Female","120"
"Male","104"
"46",""
"Female","93"
"Male","84"
"47",""
"Female","96"
"Male","67"
"48",""
"Female","111"
"Male","95"
"49",""
"Female","97"
"Male","82"
"5",""
"Female","185"
"Male","185"
"50",""
"Female","121"
"Male","102"
"51",""
"Female","89"
"Male","84"
"52",""
"Female","94"
"Male","81"
"53",""
"Female","83"
"Male","88"
"54",""
"Female","89"
"Male","67"
"55",""
"Female","99"
"Male","71"
"56",""
"Female","78"
"Male","60"
"57",""
"Female","95"
"Male","97"
"58",""
"Female","83"
"Male","80"
"59",""
"Female","64"
"Male","57"
"6",""
"Female","186"
"Male","198"
"60",""
"Female","104"
"Male","78"
"61",""
"Female","78"
"Male","72"
"62",""
"Female","82"
"Male","87"
"63",""
"Female","58"
"Male","55"
"64",""
"Female","49"
"Male","60"
"65",""
"Female","58"
"Male","63"
"66",""
"Female","58"
"Male","40"
"67",""
"Female","52"
"Male","69"
"68",""
"Female","51"
"Male","65"
"69",""
"Female","25"
"Male","47"
"7",""
"Female","231"
"Male","266"
"70",""
"Female","57"
"Male","42"
"71",""
"Female","35"
"Male","34"
"72",""
"Female","46"
"Male","50"
"73",""
"Female","30"
"Male","43"
"74",""
"Female","23"
"Male","41"
"75",""
"Female","29"
"Male","35"
"76",""
"Female","15"
"Male","19"
"77",""
"Female","24"
"Male","28"
"78",""
"Female","26"
"Male","20"
"79",""
"Female","7"
"Male","13"
"8",""
"Female","208"
"Male","216"
"80",""
"Female","21"
"Male","28"
"81",""
"Female","11"
"Male","9"
"82",""
"Female","12"
"Male","16"
"83",""
"Female","13"
"Male","9"
"84",""
"Female","9"
"Male","12"
"85",""
"Female","36"
"Male","33"
"9",""
"Female","219"
"Male","211"
