"Population by Mother tongue","Number"
"Bantawa",""
"Female","26"
"Male","26"
"Bhujel",""
"Female","21"
"Male","13"
"Chamling",""
"Female","14"
"Male","8"
"Gurung",""
"Female","20"
"Male","16"
"Limbu",""
"Female","3463"
"Male","2830"
"Magar",""
"Female","1717"
"Male","1329"
"Maithili",""
"Female","16"
"Male","23"
"Majhi",""
"Female","63"
"Male","49"
"Nepali",""
"Female","3022"
"Male","2564"
"Newar",""
"Female","33"
"Male","40"
"Not Reported",""
"Female","11"
"Male","7"
"Others",""
"Female","39"
"Male","34"
"Rai",""
"Female","241"
"Male","171"
"Sanskrit",""
"Female","8"
"Male","7"
"Tamang",""
"Female","677"
"Male","517"
"Tharu",""
"Female","2"
"Male","9"
"Yakkha",""
"Female","789"
"Male","718"
"Yamphu/Yamphe",""
"Female","398"
"Male","362"
