"Population by Five Years Age Group","Number"
"0-4",""
"Female","1601"
"Male","1645"
"10-14",""
"Female","1967"
"Male","2038"
"15-19",""
"Female","1201"
"Male","1280"
"20-24",""
"Female","1164"
"Male","826"
"25-29",""
"Female","1098"
"Male","838"
"30-34",""
"Female","1044"
"Male","652"
"35-39",""
"Female","877"
"Male","764"
"40-44",""
"Female","788"
"Male","655"
"45-49",""
"Female","621"
"Male","607"
"50-54",""
"Female","558"
"Male","545"
"55-59",""
"Female","475"
"Male","551"
"5-9",""
"Female","1959"
"Male","2043"
"60-64",""
"Female","429"
"Male","414"
"65-69",""
"Female","301"
"Male","330"
"70-74",""
"Female","192"
"Male","188"
"75+",""
"Female","255"
"Male","167"
