"Population by Mother tongue","Number"
"Bantawa",""
"Female","1551"
"Male","1417"
"Chamling",""
"Female","102"
"Male","100"
"Gurung",""
"Female","270"
"Male","282"
"Limbu",""
"Female","4691"
"Male","4166"
"Magar",""
"Female","853"
"Male","704"
"Maithili",""
"Female","6"
"Male","16"
"Nepali",""
"Female","2320"
"Male","2068"
"Not Reported",""
"Female","22"
"Male","22"
"Others",""
"Female","46"
"Male","37"
"Puma",""
"Female","8"
"Male","5"
"Rai",""
"Female","1088"
"Male","965"
"Sampang",""
"Female","76"
"Male","64"
"Sherpa",""
"Female","56"
"Male","41"
"Tamang",""
"Female","475"
"Male","433"
