"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","765"
"Male","725"
"Chhetri",""
"Female","750"
"Male","698"
"Damai/Dholi",""
"Female","119"
"Male","103"
"Gharti/Bhujel",""
"Female","36"
"Male","22"
"Gurung",""
"Female","390"
"Male","368"
"Kami",""
"Female","319"
"Male","248"
"Limbu",""
"Female","4762"
"Male","4232"
"Magar",""
"Female","866"
"Male","717"
"Newar",""
"Female","9"
"Male","8"
"Others",""
"Female","25"
"Male","29"
"Rai",""
"Female","2917"
"Male","2640"
"Sanyasi/Dasnami",""
"Female","28"
"Male","22"
"Sherpa",""
"Female","58"
"Male","45"
"Tamang",""
"Female","479"
"Male","435"
"Undefined Others",""
"Female","41"
"Male","28"
