"Population by Five Years Age Group","Number"
"0-4",""
"Female","2245"
"Male","2597"
"10-14",""
"Female","4083"
"Male","4242"
"15-19",""
"Female","3951"
"Male","3645"
"20-24",""
"Female","3743"
"Male","2244"
"25-29",""
"Female","3213"
"Male","1761"
"30-34",""
"Female","2660"
"Male","1634"
"35-39",""
"Female","2285"
"Male","1488"
"40-44",""
"Female","1860"
"Male","1496"
"45-49",""
"Female","1577"
"Male","1352"
"50-54",""
"Female","1305"
"Male","1204"
"55-59",""
"Female","1061"
"Male","1004"
"5-9",""
"Female","3162"
"Male","3420"
"60-64",""
"Female","994"
"Male","918"
"65-69",""
"Female","630"
"Male","706"
"70-74",""
"Female","486"
"Male","450"
"75+",""
"Female","596"
"Male","571"
