"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","40"
"Cow Dung","6306"
"Electricity Fuel","1"
"KeroseneFuel","66"
"LP Gas","128"
"Not Sated about Fuel","44"
"OthersFuel","72"
"Wood/FireWood","382"
"Total","7039"
