"Industries Employment","Number"
"Accommodation,  food",""
"Female","442"
"Male","710"
"Administrative, support service",""
"Female","2"
"Male","12"
"Agriculture, forestry and  fishing",""
"Female","7"
"Male","210"
"Arts, entertainment, recreation",""
"Female","1"
"Male","6"
"Construction",""
"Female","2"
"Male","15"
"Education",""
"Female","1067"
"Male","2851"
"Electricity, gas and water",""
"Female","5"
"Male","70"
"Financial intermediation and insurance",""
"Female","588"
"Male","1766"
"Health, social work",""
"Female","493"
"Male","563"
"Information and communication",""
"Female","29"
"Male","94"
"Manufacturing",""
"Female","187"
"Male","424"
"Other service activities",""
"Female","97"
"Male","268"
"Professional, scientific, techniqual activity",""
"Female","9"
"Male","27"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","31"
"Male","100"
"Water supply, wet management",""
"Female","0"
"Male","3"
"Wholesale, retail trade",""
"Female","1226"
"Male","2373"
