"Industries Types","Number"
"Accommodation and food","589"
"Administrative and support service activity","9"
"Agriculture, forestry and fishing","135"
"Art, entertainment and recreation","4"
"Construction","7"
"Education","517"
"Electricty gas and water","21"
"Financial intermediation and insurance","67"
"Health and social work","167"
"Information and communications","13"
"Manufacturing","333"
"Mining and quarrying","1"
"Other service activities","85"
"Professional,scientific and techniqual activity","24"
"Real state, renting and business activities","0"
"Transport and storage","28"
"Water supply, wet management","1"
"Wholesale and retail trade","2283"
"Total","4284"
