"Industries Types","Number"
"Accommodation and food","736"
"Administrative and support service activity","22"
"Agriculture, forestry and fishing","89"
"Art, entertainment and recreation","4"
"Construction","4"
"Education","430"
"Electricty gas and water","14"
"Financial intermediation and insurance","71"
"Health and social work","143"
"Information and communications","8"
"Manufacturing","766"
"Mining and quarrying","0"
"Other service activities","185"
"Professional,scientific and techniqual activity","47"
"Real state, renting and business activities","0"
"Transport and storage","29"
"Water supply, wet management","1"
"Wholesale and retail trade","2545"
"Total","5094"
