"Industries Employment","Number"
"Accommodation,  food",""
"Female","719"
"Male","606"
"Administrative, support service",""
"Female","1"
"Male","55"
"Agriculture, forestry and  fishing",""
"Female","309"
"Male","434"
"Arts, entertainment, recreation",""
"Female","6"
"Male","25"
"Construction",""
"Female","7"
"Male","32"
"Education",""
"Female","1495"
"Male","1927"
"Electricity, gas and water",""
"Female","7"
"Male","33"
"Financial intermediation and insurance",""
"Female","733"
"Male","204"
"Health, social work",""
"Female","1651"
"Male","421"
"Information and communication",""
"Female","15"
"Male","35"
"Manufacturing",""
"Female","486"
"Male","977"
"Other service activities",""
"Female","532"
"Male","542"
"Professional, scientific, techniqual activity",""
"Female","19"
"Male","48"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","163"
"Male","236"
"Water supply, wet management",""
"Female","0"
"Male","2"
"Wholesale, retail trade",""
"Female","1747"
"Male","1989"
