"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","840"
"Cow Dung","14"
"Electricity","53"
"Kerosene","17"
"LP Gas","1083"
"Not stated","33"
"Others","3"
"Wood/Firewood","6089"
"Total","8132"
