"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","15"
"Male","30"
"Bote",""
"Female","62"
"Male","56"
"Gurung",""
"Female","16"
"Male","19"
"Hindi",""
"Female","7"
"Male","4"
"Magar",""
"Female","3990"
"Male","2951"
"Nepali",""
"Female","15075"
"Male","11701"
"Newar",""
"Female","542"
"Male","441"
"Not Reported",""
"Female","7"
"Male","5"
"Others",""
"Female","10"
"Male","15"
"Sign Language",""
"Female","5"
"Male","8"
"Tharu",""
"Female","25"
"Male","55"
"Urdu",""
"Female","204"
"Male","153"
