"Number of households by type of outer wall","Number"
"BambooWall","145"
"Cement Bonded Bricks/Stone Wall","1273"
"Mud Bonded Bricks/Stone Wall","6560"
"Not stated","50"
"Others","15"
"Unbaked Bricks","77"
"Wood/Planks","12"
"Total","8132"
