"Population by Five Years Age Group","Number"
"0-4",""
"Female","19043"
"Male","20248"
"10-14",""
"Female","23930"
"Male","24895"
"15-19",""
"Female","20697"
"Male","18861"
"20-24",""
"Female","18635"
"Male","14672"
"25-29",""
"Female","15555"
"Male","12352"
"30-34",""
"Female","12530"
"Male","9959"
"35-39",""
"Female","10626"
"Male","9032"
"40-44",""
"Female","8834"
"Male","7914"
"45-49",""
"Female","6826"
"Male","6300"
"50-54",""
"Female","5753"
"Male","5655"
"55-59",""
"Female","4613"
"Male","4603"
"5-9",""
"Female","22888"
"Male","24039"
"60-64",""
"Female","4598"
"Male","4151"
"65-69",""
"Female","3056"
"Male","2998"
"70-74",""
"Female","1903"
"Male","1858"
"75+",""
"Female","1896"
"Male","1884"
