"Population by Single Year of Age","Number"
"0",""
"Female","3379"
"Male","3599"
"1",""
"Female","3182"
"Male","3370"
"10",""
"Female","4975"
"Male","5345"
"11",""
"Female","4381"
"Male","4646"
"12",""
"Female","5185"
"Male","5750"
"13",""
"Female","4616"
"Male","4565"
"14",""
"Female","4773"
"Male","4589"
"15",""
"Female","4286"
"Male","4151"
"16",""
"Female","4194"
"Male","3929"
"17",""
"Female","3897"
"Male","3488"
"18",""
"Female","4991"
"Male","4400"
"19",""
"Female","3329"
"Male","2893"
"2",""
"Female","3870"
"Male","4107"
"20",""
"Female","4010"
"Male","3064"
"21",""
"Female","3568"
"Male","2822"
"22",""
"Female","4257"
"Male","3331"
"23",""
"Female","3337"
"Male","2696"
"24",""
"Female","3463"
"Male","2759"
"25",""
"Female","3890"
"Male","2948"
"26",""
"Female","3222"
"Male","2542"
"27",""
"Female","2966"
"Male","2370"
"28",""
"Female","3566"
"Male","2785"
"29",""
"Female","1911"
"Male","1707"
"3",""
"Female","4158"
"Male","4447"
"30",""
"Female","4217"
"Male","2915"
"31",""
"Female","1685"
"Male","1494"
"32",""
"Female","2828"
"Male","2425"
"33",""
"Female","1897"
"Male","1549"
"34",""
"Female","1903"
"Male","1576"
"35",""
"Female","3786"
"Male","2871"
"36",""
"Female","1962"
"Male","1764"
"37",""
"Female","1431"
"Male","1326"
"38",""
"Female","2058"
"Male","1872"
"39",""
"Female","1389"
"Male","1199"
"4",""
"Female","4454"
"Male","4725"
"40",""
"Female","3649"
"Male","2887"
"41",""
"Female","1245"
"Male","1166"
"42",""
"Female","1696"
"Male","1655"
"43",""
"Female","1199"
"Male","1180"
"44",""
"Female","1045"
"Male","1026"
"45",""
"Female","2431"
"Male","2141"
"46",""
"Female","1190"
"Male","1087"
"47",""
"Female","972"
"Male","928"
"48",""
"Female","1461"
"Male","1375"
"49",""
"Female","772"
"Male","769"
"5",""
"Female","4727"
"Male","4939"
"50",""
"Female","2413"
"Male","2049"
"51",""
"Female","776"
"Male","844"
"52",""
"Female","1105"
"Male","1315"
"53",""
"Female","736"
"Male","775"
"54",""
"Female","723"
"Male","672"
"55",""
"Female","1468"
"Male","1396"
"56",""
"Female","856"
"Male","859"
"57",""
"Female","684"
"Male","716"
"58",""
"Female","924"
"Male","921"
"59",""
"Female","681"
"Male","711"
"6",""
"Female","4442"
"Male","4751"
"60",""
"Female","1969"
"Male","1616"
"61",""
"Female","737"
"Male","737"
"62",""
"Female","803"
"Male","714"
"63",""
"Female","588"
"Male","551"
"64",""
"Female","501"
"Male","533"
"65",""
"Female","1273"
"Male","961"
"66",""
"Female","464"
"Male","491"
"67",""
"Female","426"
"Male","478"
"68",""
"Female","641"
"Male","704"
"69",""
"Female","252"
"Male","364"
"7",""
"Female","4566"
"Male","4646"
"70",""
"Female","991"
"Male","766"
"71",""
"Female","220"
"Male","268"
"72",""
"Female","320"
"Male","369"
"73",""
"Female","221"
"Male","263"
"74",""
"Female","151"
"Male","192"
"75",""
"Female","427"
"Male","382"
"76",""
"Female","147"
"Male","190"
"77",""
"Female","121"
"Male","164"
"78",""
"Female","194"
"Male","226"
"79",""
"Female","103"
"Male","114"
"8",""
"Female","4779"
"Male","5277"
"80",""
"Female","264"
"Male","227"
"81",""
"Female","69"
"Male","68"
"82",""
"Female","82"
"Male","118"
"83",""
"Female","58"
"Male","61"
"84",""
"Female","78"
"Male","76"
"85",""
"Female","353"
"Male","258"
"9",""
"Female","4374"
"Male","4426"
