"Agricultural land use area","Hectare"
"Area under arable land","24198.20"
"Area under meadows and pasture","13.43"
"Area under permanent crops","785.40"
"Area under Temporary crops","23864.88"
"Area under temporary fallow","302.40"
"Area under temporary meadows","30.92"
"Other land","1725.13"
"Ponds","2.03"
"Woodland and forest","517.09"
