"Number of households by type of outer wall","Number"
"BambooWall","221"
"Cement Bonded Bricks/Stone Wall","7335"
"Mud Bonded Bricks/Stone Wall","13596"
"Not Stated about Wall","286"
"Other Type Wall","1166"
"Unbaked Bricks","8510"
"Wood/Planks","129"
"Total","31243"
