"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","919"
"Christianity","50"
"Hindu","6503"
"Islam","0"
"Jainism","0"
"Kirat","4084"
"Prakriti","0"
"Sikhism","0"
"Undefined","38"
"Total","11594"
