"Number of households by type of outer wall","Number"
"BambooWall","178"
"Cement Bonded Bricks/Stone Wall","697"
"Mud Bonded Bricks/Stone Wall","4411"
"Not stated","21"
"Others","8"
"Unbaked Bricks","1"
"Wood/Planks","39"
"Total","5355"
