"Population by Five Years Age Group","Number"
"0-4",""
"Female","919"
"Male","975"
"10-14",""
"Female","1609"
"Male","1543"
"15-19",""
"Female","1682"
"Male","1246"
"20-24",""
"Female","1131"
"Male","505"
"25-29",""
"Female","937"
"Male","432"
"30-34",""
"Female","780"
"Male","371"
"35-39",""
"Female","730"
"Male","413"
"40-44",""
"Female","768"
"Male","468"
"45-49",""
"Female","663"
"Male","508"
"50-54",""
"Female","606"
"Male","573"
"55-59",""
"Female","500"
"Male","473"
"5-9",""
"Female","1131"
"Male","1225"
"60-64",""
"Female","445"
"Male","407"
"65-69",""
"Female","356"
"Male","359"
"70-74",""
"Female","248"
"Male","222"
"75+",""
"Female","405"
"Male","362"
