"Population by Mother tongue","Number"
"Bantawa",""
"Female","460"
"Male","386"
"","846"
"Chamling",""
"Female","730"
"Male","761"
"","1491"
"Magar",""
"Female","1610"
"Male","1419"
"","3029"
"Maithili",""
"Female","4"
"Male","10"
"","14"
"Nepali",""
"Female","2896"
"Male","2612"
"","5508"
"Newar",""
"Female","210"
"Male","177"
"","387"
"Not Reported",""
"Female","8"
"Male","11"
"","19"
"Others",""
"Female","19"
"Male","16"
"","35"
"Puma",""
"Female","1086"
"Male","970"
"","2056"
"Rai",""
"Female","79"
"Male","58"
"","137"
"Tamang",""
"Female","399"
"Male","389"
"","788"
"Thulung",""
"Female","17"
"Male","22"
"","39"
