"Number of households by type of outer wall","Number"
"BambooWall","237"
"Cement Bonded Bricks/Stone Wall","2542"
"Mud Bonded Bricks/Stone Wall","1849"
"Not stated","82"
"Others","228"
"Unbaked Bricks","156"
"Wood/Planks","26"
"Total","5120"
