"Population by Caste Ethinicity","Number"
"Bhote",""
"Female","1655"
"Male","1536"
"","3191"
"Brahman - Hill",""
"Female","2"
"Male","10"
"","12"
"Chhetri",""
"Female","7"
"Male","23"
"","30"
"Gurung",""
"Female","100"
"Male","90"
"","190"
"Kami",""
"Female","43"
"Male","42"
"","85"
"Kulung",""
"Female","10"
"Male","7"
"","17"
"Lhomi",""
"Female","446"
"Male","400"
"","846"
"Newar",""
"Female","26"
"Male","24"
"","50"
"Others",""
"Female","10"
"Male","21"
"","31"
"Rai",""
"Female","556"
"Male","544"
"","1100"
"Sherpa",""
"Female","208"
"Male","194"
"","402"
"Tamang",""
"Female","309"
"Male","313"
"","622"
