"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","1"
"Cow Dung","0"
"Electricity Fuel","0"
"KeroseneFuel","1"
"LP Gas","3"
"Not Sated about Fuel","4"
"OthersFuel","0"
"Wood/FireWood","1370"
"Total","1379"
