"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","752"
"Male","680"
"","1432"
"Chhetri",""
"Female","1845"
"Male","1707"
"","3552"
"Damai/Dholi",""
"Female","555"
"Male","532"
"","1087"
"Gharti/Bhujel",""
"Female","422"
"Male","398"
"","820"
"Gurung",""
"Female","56"
"Male","58"
"","114"
"Hayu",""
"Female","220"
"Male","195"
"","415"
"Kami",""
"Female","404"
"Male","365"
"","769"
"Magar",""
"Female","2050"
"Male","1946"
"","3996"
"Majhi",""
"Female","254"
"Male","262"
"","516"
"Newar",""
"Female","954"
"Male","929"
"","1883"
"Others",""
"Female","29"
"Male","25"
"","54"
"Pahari",""
"Female","13"
"Male","14"
"","27"
"Rai",""
"Female","79"
"Male","76"
"","155"
"Sanyasi/Dasnami",""
"Female","46"
"Male","58"
"","104"
"Sarki",""
"Female","1044"
"Male","1052"
"","2096"
"Sudhi",""
"Female","34"
"Male","24"
"","58"
"Sunuwar",""
"Female","199"
"Male","187"
"","386"
"Tamang",""
"Female","656"
"Male","619"
"","1275"
"Teli",""
"Female","10"
"Male","6"
"","16"
"Thakuri",""
"Female","307"
"Male","267"
"","574"
