"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","44"
"Cow Dung","6"
"Electricity Fuel","0"
"KeroseneFuel","19"
"LP Gas","60"
"Not Sated about Fuel","15"
"OthersFuel","0"
"Wood/FireWood","3537"
"Total","3681"
