"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","4826"
"Mud Roof","21"
"Not Sated Roof","57"
"Other Type of Roof","4"
"RCC Roof","554"
"Thatch/Straw Roof","176"
"Tile/Slate Roof","2898"
"Wood/Planks Roof","8"
"Total","8544"
