"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","5180"
"Male","4582"
"","9762"
"Chhetri",""
"Female","1804"
"Male","1656"
"","3460"
"Dalit Others",""
"Female","77"
"Male","51"
"","128"
"Damai/Dholi",""
"Female","414"
"Male","375"
"","789"
"Danuwar",""
"Female","2724"
"Male","2317"
"","5041"
"Gharti/Bhujel",""
"Female","270"
"Male","261"
"","531"
"Gurung",""
"Female","7"
"Male","8"
"","15"
"Hajam/Thakur",""
"Female","9"
"Male","12"
"","21"
"Kalwar",""
"Female","11"
"Male","14"
"","25"
"Kami",""
"Female","707"
"Male","629"
"","1336"
"Kathabaniyan",""
"Female","30"
"Male","30"
"","60"
"Limbu",""
"Female","64"
"Male","65"
"","129"
"Magar",""
"Female","326"
"Male","264"
"","590"
"Musalman",""
"Female","13"
"Male","28"
"","41"
"Newar",""
"Female","2246"
"Male","2037"
"","4283"
"Others",""
"Female","44"
"Male","56"
"","100"
"Pahari",""
"Female","107"
"Male","109"
"","216"
"Rai",""
"Female","56"
"Male","38"
"","94"
"Sanyasi/Dasnami",""
"Female","343"
"Male","283"
"","626"
"Sarki",""
"Female","1005"
"Male","906"
"","1911"
"Sunuwar",""
"Female","41"
"Male","32"
"","73"
"Tamang",""
"Female","4353"
"Male","3947"
"","8300"
"Teli",""
"Female","2"
"Male","15"
"","17"
"Thakuri",""
"Female","199"
"Male","187"
"","386"
"Tharu",""
"Female","3"
"Male","18"
"","21"
"Undefined Others",""
"Female","17"
"Male","13"
"","30"
"Yadav",""
"Female","2"
"Male","10"
"","12"
