"Population by Single Year of Age","Number"
"0",""
"Female","164"
"Male","203"
"1",""
"Female","176"
"Male","210"
"10",""
"Female","277"
"Male","282"
"11",""
"Female","259"
"Male","261"
"12",""
"Female","322"
"Male","288"
"13",""
"Female","267"
"Male","266"
"14",""
"Female","303"
"Male","253"
"15",""
"Female","280"
"Male","227"
"16",""
"Female","275"
"Male","246"
"17",""
"Female","257"
"Male","211"
"18",""
"Female","257"
"Male","198"
"19",""
"Female","186"
"Male","124"
"2",""
"Female","186"
"Male","220"
"20",""
"Female","200"
"Male","115"
"21",""
"Female","180"
"Male","99"
"22",""
"Female","206"
"Male","93"
"23",""
"Female","146"
"Male","68"
"24",""
"Female","145"
"Male","71"
"25",""
"Female","195"
"Male","103"
"26",""
"Female","148"
"Male","67"
"27",""
"Female","153"
"Male","80"
"28",""
"Female","121"
"Male","91"
"29",""
"Female","68"
"Male","51"
"3",""
"Female","175"
"Male","171"
"30",""
"Female","190"
"Male","107"
"31",""
"Female","61"
"Male","44"
"32",""
"Female","112"
"Male","70"
"33",""
"Female","67"
"Male","50"
"34",""
"Female","54"
"Male","38"
"35",""
"Female","204"
"Male","117"
"36",""
"Female","116"
"Male","71"
"37",""
"Female","72"
"Male","51"
"38",""
"Female","98"
"Male","72"
"39",""
"Female","62"
"Male","42"
"4",""
"Female","223"
"Male","238"
"40",""
"Female","211"
"Male","160"
"41",""
"Female","57"
"Male","54"
"42",""
"Female","95"
"Male","81"
"43",""
"Female","79"
"Male","57"
"44",""
"Female","67"
"Male","52"
"45",""
"Female","163"
"Male","103"
"46",""
"Female","91"
"Male","49"
"47",""
"Female","47"
"Male","61"
"48",""
"Female","84"
"Male","87"
"49",""
"Female","54"
"Male","53"
"5",""
"Female","248"
"Male","222"
"50",""
"Female","192"
"Male","149"
"51",""
"Female","62"
"Male","61"
"52",""
"Female","76"
"Male","102"
"53",""
"Female","55"
"Male","61"
"54",""
"Female","51"
"Male","46"
"55",""
"Female","94"
"Male","91"
"56",""
"Female","63"
"Male","45"
"57",""
"Female","56"
"Male","55"
"58",""
"Female","66"
"Male","65"
"59",""
"Female","49"
"Male","65"
"6",""
"Female","227"
"Male","213"
"60",""
"Female","110"
"Male","107"
"61",""
"Female","36"
"Male","42"
"62",""
"Female","45"
"Male","52"
"63",""
"Female","47"
"Male","46"
"64",""
"Female","28"
"Male","27"
"65",""
"Female","97"
"Male","78"
"66",""
"Female","36"
"Male","34"
"67",""
"Female","47"
"Male","47"
"68",""
"Female","44"
"Male","56"
"69",""
"Female","11"
"Male","24"
"7",""
"Female","236"
"Male","276"
"70",""
"Female","96"
"Male","86"
"71",""
"Female","21"
"Male","18"
"72",""
"Female","30"
"Male","35"
"73",""
"Female","27"
"Male","26"
"74",""
"Female","19"
"Male","13"
"75",""
"Female","45"
"Male","34"
"76",""
"Female","25"
"Male","21"
"77",""
"Female","27"
"Male","28"
"78",""
"Female","29"
"Male","41"
"79",""
"Female","8"
"Male","11"
"8",""
"Female","254"
"Male","274"
"80",""
"Female","41"
"Male","26"
"81",""
"Female","11"
"Male","12"
"82",""
"Female","9"
"Male","12"
"83",""
"Female","7"
"Male","10"
"84",""
"Female","12"
"Male","11"
"85",""
"Female","49"
"Male","53"
"9",""
"Female","253"
"Male","239"
