"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","19"
"Male","16"
"Brahman - Hill",""
"Female","605"
"Male","520"
"Chhetri",""
"Female","4233"
"Male","3559"
"Damai/Dholi",""
"Female","404"
"Male","322"
"Gharti/Bhujel",""
"Female","171"
"Male","154"
"Gurung",""
"Female","262"
"Male","228"
"Kami",""
"Female","323"
"Male","305"
"Magar",""
"Female","1464"
"Male","1138"
"Majhi",""
"Female","241"
"Male","201"
"Newar",""
"Female","616"
"Male","550"
"Others",""
"Female","24"
"Male","30"
"Sanyasi/Dasnami",""
"Female","91"
"Male","73"
"Sarki",""
"Female","291"
"Male","282"
"Sherpa",""
"Female","113"
"Male","102"
"Sunuwar",""
"Female","519"
"Male","450"
"Tamang",""
"Female","698"
"Male","576"
"Terai Others",""
"Female","8"
"Male","6"
"Undefined Others",""
"Female","10"
"Male","9"
