"Population by Five Years Age Group","Number"
"0-4",""
"Female","1500"
"Male","1607"
"10-14",""
"Female","2185"
"Male","2308"
"15-19",""
"Female","2017"
"Male","1719"
"20-24",""
"Female","1219"
"Male","812"
"25-29",""
"Female","984"
"Male","637"
"30-34",""
"Female","809"
"Male","577"
"35-39",""
"Female","761"
"Male","554"
"40-44",""
"Female","834"
"Male","710"
"45-49",""
"Female","708"
"Male","622"
"50-54",""
"Female","643"
"Male","609"
"55-59",""
"Female","487"
"Male","495"
"5-9",""
"Female","2050"
"Male","2059"
"60-64",""
"Female","452"
"Male","451"
"65-69",""
"Female","308"
"Male","313"
"70-74",""
"Female","234"
"Male","251"
"75+",""
"Female","350"
"Male","310"
