"Agricultural land use area","Hectare"
"Area under arable land","20996.00"
"Area under meadows and pasture","465.00"
"Area under permanent crops","6191.00"
"Area under Temporary crops","20524.00"
"Area under temporary fallow","426.00"
"Area under temporary meadows","47.00"
"Other land","1635.00"
"Ponds","6.00"
"Woodland and forest","692.00"
"Total","50982.00"
