"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2643"
"Male","2377"
"Chhetri",""
"Female","14064"
"Male","13317"
"Dalit Others",""
"Female","2365"
"Male","2266"
"Damai/Dholi",""
"Female","24"
"Male","23"
"Dhanuk",""
"Female","36"
"Male","27"
"Kami",""
"Female","207"
"Male","224"
"Lohar",""
"Female","602"
"Male","605"
"Others",""
"Female","26"
"Male","21"
"Sanyasi/Dasnami",""
"Female","8"
"Male","5"
"Sarki",""
"Female","23"
"Male","20"
"Thakuri",""
"Female","114"
"Male","106"
"Undefined Others",""
"Female","9"
"Male","7"
"Yakkha",""
"Female","30"
"Male","25"
