"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1234"
"Male","1114"
"Chhetri",""
"Female","2645"
"Male","2297"
"Dalit Others",""
"Female","12"
"Male","16"
"Damai/Dholi",""
"Female","246"
"Male","207"
"Dhimal",""
"Female","8"
"Male","5"
"Gharti/Bhujel",""
"Female","138"
"Male","127"
"Gurung",""
"Female","23"
"Male","17"
"Kami",""
"Female","339"
"Male","294"
"Koiri/Kushwaha",""
"Female","7"
"Male","5"
"Magar",""
"Female","1202"
"Male","930"
"Majhi",""
"Female","44"
"Male","38"
"Newar",""
"Female","645"
"Male","524"
"Others",""
"Female","19"
"Male","25"
"Rai",""
"Female","1038"
"Male","943"
"Sanyasi/Dasnami",""
"Female","90"
"Male","74"
"Sarki",""
"Female","169"
"Male","139"
"Sunuwar",""
"Female","206"
"Male","179"
"Tamang",""
"Female","1944"
"Male","1607"
