"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","13"
"Male","57"
"","70"
"Gurung",""
"Female","625"
"Male","499"
"","1124"
"Hindi",""
"Female","13"
"Male","26"
"","39"
"Magar",""
"Female","77"
"Male","56"
"","133"
"Maithili",""
"Female","18"
"Male","57"
"","75"
"Nepali",""
"Female","20830"
"Male","16753"
"","37583"
"Newar",""
"Female","232"
"Male","218"
"","450"
"Others",""
"Female","18"
"Male","24"
"","42"
"Rai",""
"Female","10"
"Male","7"
"","17"
"Tamang",""
"Female","10"
"Male","22"
"","32"
"Thakali",""
"Female","10"
"Male","13"
"","23"
"Tharu",""
"Female","5"
"Male","7"
"","12"
