"Population by Five Years Age Group","Number"
"0-4",""
"Female","800"
"Male","875"
"10-14",""
"Female","1195"
"Male","1233"
"15-19",""
"Female","1190"
"Male","1088"
"20-24",""
"Female","882"
"Male","473"
"25-29",""
"Female","663"
"Male","397"
"30-34",""
"Female","536"
"Male","383"
"35-39",""
"Female","522"
"Male","346"
"40-44",""
"Female","536"
"Male","426"
"45-49",""
"Female","490"
"Male","376"
"50-54",""
"Female","448"
"Male","449"
"55-59",""
"Female","394"
"Male","365"
"5-9",""
"Female","1066"
"Male","1085"
"60-64",""
"Female","334"
"Male","304"
"65-69",""
"Female","238"
"Male","232"
"70-74",""
"Female","188"
"Male","216"
"75+",""
"Female","246"
"Male","257"
