"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1124"
"Male","986"
"Chhetri",""
"Female","1182"
"Male","1024"
"Damai/Dholi",""
"Female","403"
"Male","295"
"Gharti/Bhujel",""
"Female","248"
"Male","221"
"Gurung",""
"Female","51"
"Male","46"
"Kami",""
"Female","670"
"Male","584"
"Magar",""
"Female","145"
"Male","119"
"Newar",""
"Female","590"
"Male","502"
"Others",""
"Female","38"
"Male","30"
"Rai",""
"Female","4181"
"Male","3716"
"Sanyasi/Dasnami",""
"Female","182"
"Male","176"
"Sarki",""
"Female","432"
"Male","369"
"Sherpa",""
"Female","143"
"Male","89"
"Tamang",""
"Female","317"
"Male","309"
"Undefined Others",""
"Female","22"
"Male","17"
