"Population by Five Years Age Group","Number"
"0-4",""
"Female","3264"
"Male","3459"
"10-14",""
"Female","4706"
"Male","5221"
"15-19",""
"Female","4325"
"Male","4015"
"20-24",""
"Female","4116"
"Male","3392"
"25-29",""
"Female","3680"
"Male","2790"
"30-34",""
"Female","2961"
"Male","2408"
"35-39",""
"Female","2419"
"Male","2134"
"40-44",""
"Female","1933"
"Male","1788"
"45-49",""
"Female","1359"
"Male","1510"
"50-54",""
"Female","1078"
"Male","1160"
"55-59",""
"Female","863"
"Male","939"
"5-9",""
"Female","4287"
"Male","4689"
"60-64",""
"Female","871"
"Male","817"
"65-69",""
"Female","477"
"Male","539"
"70-74",""
"Female","383"
"Male","417"
"75+",""
"Female","368"
"Male","380"
