"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","517"
"Cow Dung","108"
"Electricity","13"
"Kerosene","106"
"LP Gas","4387"
"Not stated","55"
"Others","35"
"Wood/Firewood","10262"
"Total","15483"
