"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","81"
"Male","59"
"Bantar/Sardar",""
"Female","6"
"Male","18"
"Baraee",""
"Female","24"
"Male","32"
"Brahman - Hill",""
"Female","5762"
"Male","5367"
"Brahman - Tarai",""
"Female","7"
"Male","9"
"Chamar/ Harijan/ Ram",""
"Female","239"
"Male","249"
"Chhetri",""
"Female","7551"
"Male","6836"
"Chidimar",""
"Female","86"
"Male","95"
"Dalit Others",""
"Female","305"
"Male","356"
"Damai/Dholi",""
"Female","804"
"Male","703"
"Dhanuk",""
"Female","13"
"Male","10"
"Dhobi",""
"Female","78"
"Male","85"
"Dusadh/ Pasawan/ Pasi",""
"Female","6"
"Male","8"
"Gaderi/Bhedihar",""
"Female","124"
"Male","120"
"Gaine",""
"Female","71"
"Male","76"
"Ghale",""
"Female","5"
"Male","8"
"Gharti/Bhujel",""
"Female","17"
"Male","14"
"Gurung",""
"Female","344"
"Male","284"
"Hajam/Thakur",""
"Female","47"
"Male","41"
"Halwai",""
"Female","89"
"Male","100"
"Kahar",""
"Female","14"
"Male","14"
"Kami",""
"Female","2557"
"Male","2272"
"Kanu",""
"Female","15"
"Male","21"
"Kathabaniyan",""
"Female","44"
"Male","47"
"Kayastha",""
"Female","9"
"Male","8"
"Koiri/Kushwaha",""
"Female","6"
"Male","5"
"Kumal",""
"Female","21"
"Male","23"
"Kurmi",""
"Female","31"
"Male","39"
"Limbu",""
"Female","4"
"Male","8"
"Lohar",""
"Female","24"
"Male","21"
"Magar",""
"Female","3153"
"Male","2701"
"Majhi",""
"Female","11"
"Male","11"
"Mallaha",""
"Female","65"
"Male","65"
"Marwadi",""
"Female","9"
"Male","5"
"Musahar",""
"Female","37"
"Male","41"
"Musalman",""
"Female","1055"
"Male","1069"
"Newar",""
"Female","489"
"Male","448"
"Others",""
"Female","44"
"Male","54"
"Rai",""
"Female","36"
"Male","30"
"Rajbansi",""
"Female","121"
"Male","119"
"Rajput",""
"Female","14"
"Male","10"
"Sanyasi/Dasnami",""
"Female","577"
"Male","508"
"Sarki",""
"Female","259"
"Male","217"
"Sonar",""
"Female","20"
"Male","10"
"Tamang",""
"Female","93"
"Male","83"
"Teli",""
"Female","12"
"Male","23"
"Terai Others",""
"Female","98"
"Male","84"
"Thakuri",""
"Female","2695"
"Male","2347"
"Tharu",""
"Female","8737"
"Male","8693"
"Yadav",""
"Female","626"
"Male","666"
