"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","2238"
"Christianity","427"
"Hindu","19908"
"Islam","110"
"Jainism","0"
"Kirat","1"
"Prakriti","557"
"Sikhism","0"
"Undefined","20"
"Total","23262"
