"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","289"
"Cow Dung","1"
"Electricity Fuel","15"
"KeroseneFuel","18"
"LP Gas","195"
"Not Sated about Fuel","20"
"OthersFuel","2"
"Wood/FireWood","4713"
"Total","5253"
