"Population by Five Years Age Group","Number"
"0-4",""
"Female","1517"
"Male","1495"
"10-14",""
"Female","1970"
"Male","1898"
"15-19",""
"Female","1587"
"Male","1367"
"20-24",""
"Female","1235"
"Male","951"
"25-29",""
"Female","988"
"Male","705"
"30-34",""
"Female","778"
"Male","575"
"35-39",""
"Female","725"
"Male","628"
"40-44",""
"Female","567"
"Male","494"
"45-49",""
"Female","487"
"Male","428"
"50-54",""
"Female","362"
"Male","444"
"55-59",""
"Female","316"
"Male","365"
"5-9",""
"Female","1742"
"Male","1814"
"60-64",""
"Female","342"
"Male","289"
"65-69",""
"Female","208"
"Male","250"
"70-74",""
"Female","109"
"Male","119"
"75+",""
"Female","111"
"Male","122"
