"Population by Five Years Age Group","Number"
"0-4",""
"Female","883"
"Male","989"
"10-14",""
"Female","1545"
"Male","1537"
"15-19",""
"Female","1501"
"Male","1342"
"20-24",""
"Female","1150"
"Male","676"
"25-29",""
"Female","941"
"Male","510"
"30-34",""
"Female","758"
"Male","401"
"35-39",""
"Female","780"
"Male","446"
"40-44",""
"Female","825"
"Male","486"
"45-49",""
"Female","643"
"Male","498"
"50-54",""
"Female","681"
"Male","537"
"55-59",""
"Female","539"
"Male","434"
"5-9",""
"Female","1117"
"Male","1240"
"60-64",""
"Female","516"
"Male","441"
"65-69",""
"Female","381"
"Male","348"
"70-74",""
"Female","276"
"Male","284"
"75+",""
"Female","381"
"Male","388"
