"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","593"
"Cow Dung","25"
"Electricity","4"
"Kerosene","9"
"LP Gas","618"
"Not stated","18"
"Others","3"
"Wood/Firewood","4618"
"Total","5888"
