"Population by Single Year of Age","Number"
"0",""
"Female","1289"
"Male","1393"
"1",""
"Female","1208"
"Male","1263"
"10",""
"Female","2225"
"Male","2182"
"11",""
"Female","1854"
"Male","1900"
"12",""
"Female","2419"
"Male","2537"
"13",""
"Female","2150"
"Male","2117"
"14",""
"Female","2222"
"Male","2076"
"15",""
"Female","2304"
"Male","2171"
"16",""
"Female","2084"
"Male","1993"
"17",""
"Female","1920"
"Male","1763"
"18",""
"Female","2013"
"Male","1860"
"19",""
"Female","1387"
"Male","1096"
"2",""
"Female","1409"
"Male","1463"
"20",""
"Female","1858"
"Male","1170"
"21",""
"Female","1404"
"Male","877"
"22",""
"Female","1819"
"Male","919"
"23",""
"Female","1365"
"Male","719"
"24",""
"Female","1551"
"Male","895"
"25",""
"Female","1924"
"Male","1003"
"26",""
"Female","1413"
"Male","764"
"27",""
"Female","1311"
"Male","748"
"28",""
"Female","1546"
"Male","851"
"29",""
"Female","851"
"Male","526"
"3",""
"Female","1471"
"Male","1438"
"30",""
"Female","2039"
"Male","1084"
"31",""
"Female","801"
"Male","496"
"32",""
"Female","1289"
"Male","704"
"33",""
"Female","779"
"Male","480"
"34",""
"Female","870"
"Male","496"
"35",""
"Female","2074"
"Male","1022"
"36",""
"Female","1029"
"Male","605"
"37",""
"Female","796"
"Male","483"
"38",""
"Female","1093"
"Male","744"
"39",""
"Female","681"
"Male","491"
"4",""
"Female","1544"
"Male","1620"
"40",""
"Female","2278"
"Male","1296"
"41",""
"Female","670"
"Male","473"
"42",""
"Female","1011"
"Male","767"
"43",""
"Female","774"
"Male","542"
"44",""
"Female","699"
"Male","514"
"45",""
"Female","1731"
"Male","1227"
"46",""
"Female","740"
"Male","588"
"47",""
"Female","705"
"Male","541"
"48",""
"Female","964"
"Male","827"
"49",""
"Female","661"
"Male","548"
"5",""
"Female","1626"
"Male","1750"
"50",""
"Female","1899"
"Male","1470"
"51",""
"Female","584"
"Male","622"
"52",""
"Female","799"
"Male","821"
"53",""
"Female","651"
"Male","592"
"54",""
"Female","586"
"Male","472"
"55",""
"Female","1159"
"Male","1009"
"56",""
"Female","677"
"Male","660"
"57",""
"Female","587"
"Male","555"
"58",""
"Female","708"
"Male","657"
"59",""
"Female","548"
"Male","459"
"6",""
"Female","1574"
"Male","1658"
"60",""
"Female","1578"
"Male","1278"
"61",""
"Female","488"
"Male","448"
"62",""
"Female","621"
"Male","560"
"63",""
"Female","461"
"Male","433"
"64",""
"Female","409"
"Male","397"
"65",""
"Female","965"
"Male","792"
"66",""
"Female","405"
"Male","381"
"67",""
"Female","412"
"Male","396"
"68",""
"Female","447"
"Male","550"
"69",""
"Female","275"
"Male","256"
"7",""
"Female","1806"
"Male","1791"
"70",""
"Female","922"
"Male","753"
"71",""
"Female","277"
"Male","299"
"72",""
"Female","367"
"Male","468"
"73",""
"Female","270"
"Male","300"
"74",""
"Female","201"
"Male","245"
"75",""
"Female","499"
"Male","490"
"76",""
"Female","219"
"Male","270"
"77",""
"Female","213"
"Male","225"
"78",""
"Female","262"
"Male","300"
"79",""
"Female","164"
"Male","149"
"8",""
"Female","1794"
"Male","1962"
"80",""
"Female","358"
"Male","323"
"81",""
"Female","128"
"Male","134"
"82",""
"Female","130"
"Male","165"
"83",""
"Female","103"
"Male","143"
"84",""
"Female","146"
"Male","142"
"85",""
"Female","540"
"Male","451"
"9",""
"Female","1728"
"Male","1815"
