"Population by Five Years Age Group","Number"
"0-4",""
"Female","6921"
"Male","7177"
"10-14",""
"Female","10870"
"Male","10812"
"15-19",""
"Female","9708"
"Male","8883"
"20-24",""
"Female","7997"
"Male","4580"
"25-29",""
"Female","7045"
"Male","3892"
"30-34",""
"Female","5778"
"Male","3260"
"35-39",""
"Female","5673"
"Male","3345"
"40-44",""
"Female","5432"
"Male","3592"
"45-49",""
"Female","4801"
"Male","3731"
"50-54",""
"Female","4519"
"Male","3977"
"55-59",""
"Female","3679"
"Male","3340"
"5-9",""
"Female","8528"
"Male","8976"
"60-64",""
"Female","3557"
"Male","3116"
"65-69",""
"Female","2504"
"Male","2375"
"70-74",""
"Female","2037"
"Male","2065"
"75+",""
"Female","2762"
"Male","2792"
