"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","4364"
"Cow Dung","59"
"Electricity","53"
"Kerosene","149"
"LP Gas","7997"
"Not stated","150"
"Others","21"
"Wood/Firewood","29255"
"Total","42048"
