"Agricultural land use area","Hectare"
"Area under arable land","15113.06"
"Area under meadows and pasture","157.23"
"Area under permanent crops","888.96"
"Area under Temporary crops","14565.20"
"Area under temporary fallow","466.74"
"Area under temporary meadows","81.12"
"Other land","599.68"
"Ponds","1.03"
"Woodland and forest","505.88"
